filename,location,time,light,subject
frame_000.jpg,outdoor,day,sun_sky,man_made
frame_001.jpg,indoor,unknown,mixed,people
frame_002.jpg,unknown,unknown,artificial,people
frame_003.jpg,outdoor,day,sun_sky,nature
frame_004.jpg,outdoor,day,sun_sky,nature
frame_005.jpg,outdoor,day,sun_sky,man_made
frame_006.jpg,outdoor,unknown,sun_sky,nature
frame_007.jpg,indoor,unknown,artificial,man_made
frame_008.jpg,outdoor,dusk,sun_sky,nature
frame_009.jpg,indoor,unknown,artificial,people
frame_010.jpg,indoor,unknown,artificial,people
frame_011.jpg,unknown,unknown,unknown,unknown
frame_012.jpg,outdoor,day,sun_sky,nature
frame_013.jpg,unknown,unknown,artificial,people
frame_014.jpg,indoor,unknown,mixed,man_made
frame_015.jpg,indoor,unknown,artificial,people
frame_016.jpg,outdoor,day,sun_sky,man_made
frame_017.jpg,outdoor,dusk,sun_sky,nature
frame_018.jpg,outdoor,day,sun_sky,people
frame_019.jpg,indoor,unknown,artificial,man_made
frame_020.jpg,outdoor,unknown,sun_sky,animals
frame_021.jpg,outdoor,day,sun_sky,people
frame_022.jpg,indoor,unknown,artificial,people
frame_023.jpg,outdoor,day,sun_sky,people
frame_024.jpg,outdoor,day,sun_sky,people
frame_025.jpg,outdoor,day,sun_sky,nature
frame_026.jpg,unknown,unknown,artificial,man_made
frame_027.jpg,indoor,unknown,artificial,people
frame_028.jpg,indoor,unknown,artificial,people
frame_029.jpg,indoor,unknown,artificial,people
frame_030.jpg,outdoor,day,sun_sky,man_made
frame_031.jpg,outdoor,day,sun_sky,nature
frame_032.jpg,outdoor,day,sun_sky,animals
frame_033.jpg,outdoor,dusk,sun_sky,people
frame_034.jpg,outdoor,day,sun_sky,man_made
frame_035.jpg,outdoor,day,sun_sky,man_made
frame_036.jpg,indoor,unknown,artificial,people
frame_037.jpg,outdoor,day,sun_sky,nature
frame_038.jpg,outdoor,unknown,unknown,unknown
frame_039.jpg,outdoor,dusk,sun_sky,man_made
frame_040.jpg,outdoor,unknown,sun_sky,man_made
frame_041.jpg,indoor,unknown,artificial,man_made
frame_042.jpg,outdoor,day,sun_sky,man_made
frame_043.jpg,outdoor,day,sun_sky,nature
frame_044.jpg,outdoor,day,sun_sky,man_made
frame_045.jpg,outdoor,day,sun_sky,man_made
frame_046.jpg,outdoor,day,sun_sky,people
frame_047.jpg,indoor,unknown,artificial,man_made
frame_048.jpg,outdoor,day,sun_sky,people
frame_049.jpg,indoor,unknown,mixed,man_made
frame_050.jpg,outdoor,night,mixed,nature
frame_051.jpg,outdoor,unknown,mixed,people
frame_052.jpg,outdoor,day,sun_sky,people
frame_053.jpg,outdoor,day,sun_sky,man_made
frame_054.jpg,indoor,day,mixed,people
frame_055.jpg,indoor,day,sun_sky,man_made
frame_056.jpg,outdoor,day,sun_sky,abstract
frame_057.jpg,outdoor,day,sun_sky,nature
frame_058.jpg,indoor,unknown,artificial,people
frame_059.jpg,outdoor,day,sun_sky,man_made
frame_060.jpg,outdoor,unknown,sun_sky,nature
frame_061.jpg,outdoor,day,sun_sky,man_made
frame_062.jpg,outdoor,day,sun_sky,people
frame_063.jpg,unknown,unknown,unknown,unknown
frame_064.jpg,outdoor,day,sun_sky,man_made
frame_065.jpg,outdoor,day,sun_sky,unknown
frame_066.jpg,outdoor,day,sun_sky,man_made
frame_067.jpg,outdoor,day,sun_sky,people
frame_068.jpg,indoor,unknown,artificial,man_made
frame_069.jpg,indoor,day,mixed,animals
frame_070.jpg,outdoor,unknown,unknown,unknown
frame_071.jpg,outdoor,day,sun_sky,animals
frame_072.jpg,indoor,unknown,artificial,man_made
frame_073.jpg,outdoor,dusk,sun_sky,man_made
frame_074.jpg,outdoor,day,sun_sky,people
frame_075.jpg,outdoor,day,sun_sky,man_made
frame_076.jpg,outdoor,night,artificial,man_made
